UID        PID  PPID  C STIME TTY          TIME CMD
can       4449  4412  0 21:06 ?        00:00:05 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=utility --utility-sub-type=network.mojom.NetworkService --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --service-sandbox-type=network --shared-files=v8_context_snapshot_data:100
can       4462  4426  0 21:06 ?        00:00:00 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=utility --utility-sub-type=storage.mojom.StorageService --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --service-sandbox-type=utility --shared-files=v8_context_snapshot_data:100
can       4504  4426  0 21:06 ?        00:00:03 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --extension-process --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=5 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       4692  4426  0 21:06 ?        00:00:03 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=13 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       4707  4426  0 21:06 ?        00:00:03 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=16 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       4708  4426  0 21:06 ?        00:00:04 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=14 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       4713  4426  0 21:06 ?        00:00:05 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=12 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       4780  4426  0 21:06 ?        00:00:04 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=renderer --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --num-raster-threads=4 --enable-main-frame-before-activation --renderer-client-id=15 --no-v8-untrusted-code-mitigations --shared-files=v8_context_snapshot_data:100
can       4971  4412  0 21:07 ?        00:00:00 /nix/store/djxjdxjn2rv0q0ymlx7psg9xg2z78zsk-google-chrome-88.0.4324.96/share/google/chrome/chrome --type=utility --utility-sub-type=audio.mojom.AudioService --field-trial-handle=5723314761396664852,15179375831110801254,131072 --lang=en-US --service-sandbox-type=none --shared-files=v8_context_snapshot_data:100
root      5024     2  0 21:07 ?        00:00:00 [kworker/1:1-events]
